Table_Number,Table_name,Table_sub_name,Breakdown,Section,Units,Value,Time_Period
Table 1,Counts of businesses - Maori authorities,By industry group,Agriculture,Maori authorities,Counts,216,2017
Table 1,Counts of businesses - Maori authorities,By industry group,Agriculture,Maori authorities,Counts,210,2018
Table 1,Counts of businesses - Maori authorities,By industry group,Agriculture,Maori authorities,Counts,213,2019
Table 1,Counts of businesses - Maori authorities,By industry group,Agriculture,Maori authorities,Counts,216,2020
Table 1,Counts of businesses - Maori authorities,By industry group,Agriculture,Maori authorities,Counts,216,2021
Table 1,Counts of businesses - Maori authorities,By industry group,Agriculture,Maori authorities,Counts,216,2022
Table 1,Counts of businesses - Maori authorities,By industry group,Agriculture,Maori authorities,Counts,219,2023
Table 1,Counts of businesses - Maori authorities,By industry group,Other primary industries,Maori authorities,Counts,78,2017
Table 1,Counts of businesses - Maori authorities,By industry group,Other primary industries,Maori authorities,Counts,84,2018
Table 1,Counts of businesses - Maori authorities,By industry group,Other primary industries,Maori authorities,Counts,75,2019
Table 1,Counts of businesses - Maori authorities,By industry group,Other primary industries,Maori authorities,Counts,84,2020
Table 1,Counts of businesses - Maori authorities,By industry group,Other primary industries,Maori authorities,Counts,90,2021
Table 1,Counts of businesses - Maori authorities,By industry group,Other primary industries,Maori authorities,Counts,87,2022
Table 1,Counts of businesses - Maori authorities,By industry group,Other primary industries,Maori authorities,Counts,75,2023
Table 1,Counts of businesses - Maori authorities,By industry group,Non-residential property operators,Maori authorities,Counts,375,2017
Table 1,Counts of businesses - Maori authorities,By industry group,Non-residential property operators,Maori authorities,Counts,396,2018
Table 1,Counts of businesses - Maori authorities,By industry group,Non-residential property operators,Maori authorities,Counts,408,2019
Table 1,Counts of businesses - Maori authorities,By industry group,Non-residential property operators,Maori authorities,Counts,399,2020
Table 1,Counts of businesses - Maori authorities,By industry group,Non-residential property operators,Maori authorities,Counts,387,2021
Table 1,Counts of businesses - Maori authorities,By industry group,Non-residential property operators,Maori authorities,Counts,420,2022
Table 1,Counts of businesses - Maori authorities,By industry group,Non-residential property operators,Maori authorities,Counts,438,2023
Table 1,Counts of businesses - Maori authorities,By industry group,All other industries,Maori authorities,Counts,516,2017
Table 1,Counts of businesses - Maori authorities,By industry group,All other industries,Maori authorities,Counts,537,2018
Table 1,Counts of businesses - Maori authorities,By industry group,All other industries,Maori authorities,Counts,561,2019
Table 1,Counts of businesses - Maori authorities,By industry group,All other industries,Maori authorities,Counts,585,2020
Table 1,Counts of businesses - Maori authorities,By industry group,All other industries,Maori authorities,Counts,588,2021
Table 1,Counts of businesses - Maori authorities,By industry group,All other industries,Maori authorities,Counts,597,2022
Table 1,Counts of businesses - Maori authorities,By industry group,All other industries,Maori authorities,Counts,606,2023
Table 1,Counts of businesses - Maori authorities,By industry group,Total,Maori authorities,Counts,"1,188",2017
Table 1,Counts of businesses - Maori authorities,By industry group,Total,Maori authorities,Counts,"1,224",2018
Table 1,Counts of businesses - Maori authorities,By industry group,Total,Maori authorities,Counts,"1,257",2019
Table 1,Counts of businesses - Maori authorities,By industry group,Total,Maori authorities,Counts,"1,287",2020
Table 1,Counts of businesses - Maori authorities,By industry group,Total,Maori authorities,Counts,"1,278",2021
Table 1,Counts of businesses - Maori authorities,By industry group,Total,Maori authorities,Counts,"1,323",2022
Table 1,Counts of businesses - Maori authorities,By industry group,Total,Maori authorities,Counts,"1,338",2023
Table 2,Count of employees - Maori authorities,By industry group,Agriculture,Maori authorities,Count,"1,600",2017
Table 2,Count of employees - Maori authorities,By industry group,Agriculture,Maori authorities,Count,"1,650",2018
Table 2,Count of employees - Maori authorities,By industry group,Agriculture,Maori authorities,Count,"1,850",2019
Table 2,Count of employees - Maori authorities,By industry group,Agriculture,Maori authorities,Count,"1,900",2020
Table 2,Count of employees - Maori authorities,By industry group,Agriculture,Maori authorities,Count,"1,850",2021
Table 2,Count of employees - Maori authorities,By industry group,Agriculture,Maori authorities,Count,"1,900",2022
Table 2,Count of employees - Maori authorities,By industry group,Agriculture,Maori authorities,Count,"2,450",2023
