Table_Tau,Table_name,Table_sub_name,Breakdown,Section,Units,Value,Time_Period,Footnotes
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Ahuwhenua,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,58656,2012,1
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Ahuwhenua,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,56538,2013,1
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Ahuwhenua,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,56514,2014,1
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Ahuwhenua,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,57174,2015,1
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Ahuwhenua,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,56592,2016,1
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Ahuwhenua,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,55737,2017,1
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Ahuwhenua,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,52035,2018,1
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Ahuwhenua,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,52026,2019,1
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Ahuwhenua,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,51234,2020,1 me 3
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Era ahumahi katoa atu,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,347088,2012,1
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Era ahumahi katoa atu,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,351873,2013,1
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Era ahumahi katoa atu,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,367749,2014,1
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Era ahumahi katoa atu,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,376794,2015,1
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Era ahumahi katoa atu,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,387540,2016,1
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Era ahumahi katoa atu,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,401667,2017,1
Ripanga 1,Te tatauranga o nga umanga – Nga uepu Maori,A-wehenga ahumahi,Era ahumahi katoa atu,Nga umanga katoa o Aotearoa,Te tatauranga o nga umanga,408975,2018,1
